Calculation,Time,,,
949,0.00002625,,,
950,2.63194E-05,,,
951,2.6331E-05,,,
952,2.62384E-05,,,
953,2.62037E-05,,,
954,2.63773E-05,,,
955,2.88542E-05,,,
956,2.64699E-05,,,
957,2.65278E-05,,,
958,2.65856E-05,,,
959,2.64236E-05,,,
960,2.60069E-05,,,
961,2.6412E-05,,,
962,2.59491E-05,,,
963,2.62731E-05,,,
964,2.62963E-05,,,
965,2.64352E-05,,,
966,2.62731E-05,,,
967,2.67245E-05,,,
968,2.66551E-05,,,
969,2.60417E-05,,,
970,2.81597E-05,,,
971,2.59954E-05,,,
972,2.61227E-05,,,
973,2.75926E-05,,,
974,2.70602E-05,,,
975,2.64468E-05,,,
976,2.61343E-05,,,
977,2.6331E-05,,,
978,2.60417E-05,,,
979,2.67361E-05,,,
980,2.72685E-05,,,
981,2.62616E-05,,,
982,2.61227E-05,,,
983,2.57407E-05,,,
984,2.70255E-05,,,
985,2.75116E-05,,,
986,2.70602E-05,,,
987,2.63426E-05,,,
988,2.67361E-05,,,
989,2.65162E-05,,,
990,2.64931E-05,,,
991,2.66898E-05,,,
992,2.64005E-05,,,
993,2.64583E-05,,,
994,2.58333E-05,,,
995,2.61574E-05,,,
996,2.67824E-05,,,
997,2.65972E-05,,,
998,2.67824E-05,,,
999,2.65394E-05,,,
1000,3.7037E-05,,,
1001,2.64236E-05,,,
1002,2.68287E-05,,,
1003,2.59838E-05,,,
1004,2.75347E-05,,,
1005,2.67477E-05,,,
1006,2.68981E-05,,,
1007,2.58333E-05,,,
1008,2.59954E-05,,,
1009,2.60995E-05,,,
1010,2.67245E-05,,,
1011,2.75347E-05,,,
1012,2.61227E-05,,,
1013,2.92361E-05,,,
1014,2.62269E-05,,,
1015,2.63773E-05,,,
1016,2.59838E-05,,,
1017,2.69329E-05,,,
1018,2.64005E-05,,,
1019,2.88194E-05,,,
1020,2.72685E-05,,,
1021,2.85995E-05,,,
1022,2.77083E-05,,,
1023,2.78009E-05,,,
1024,2.76157E-05,,,
1025,2.75579E-05,,,
1026,2.63079E-05,,,
1027,2.59954E-05,,,
1028,2.71181E-05,,,
1029,0.00002625,,,
1030,2.60532E-05,,,
1031,2.64468E-05,,,
1032,2.59259E-05,,,
1033,2.89583E-05,,,
1034,2.69444E-05,,,
1035,0.00002625,,,
1036,2.71759E-05,,,
1037,2.61806E-05,,,
1038,2.66667E-05,,,
1039,2.81019E-05,,,
1040,2.59954E-05,,,
1041,2.64352E-05,,,
1042,2.62037E-05,,,
1043,2.64583E-05,,,
1044,2.63426E-05,,,
1045,2.73032E-05,,,
1046,3.05208E-05,,,
1047,2.60417E-05,,,
1048,2.75231E-05,,,
1049,2.63194E-05,,,
1050,2.6169E-05,,,
1051,2.64931E-05,,,
1052,4.29514E-05,,,
1053,2.73843E-05,,,
1054,2.61111E-05,,,
1055,2.68634E-05,,,
1056,2.56481E-05,,,
1057,2.65394E-05,,,
1058,2.74421E-05,,,
1059,2.60764E-05,,,
1060,2.66667E-05,,,
1061,2.61227E-05,,,
1062,2.60185E-05,,,
1063,2.76736E-05,,,
1064,2.61343E-05,,,
1065,2.63194E-05,,,
1066,2.5787E-05,,,
1067,0.00002625,,,
1068,2.93866E-05,,,
1069,2.59144E-05,,,
1070,2.68403E-05,,,
